"City_locality","iso3","country","super_region","super_region_name","pm25","sat_2014","log_pm25","log_sat","cluster_region"
"ORLOVA","CZE","Czech Republic",4,"E-Eur/C-Eur/C-Asia",32,22.5819969177246,3.46573590279973,3.11715299226574,2
"Orlu","NGA","Nigeria",7,"Sub-Saharan Afr",16,48.653507232666,2.77258872223978,3.88472389714696,4
"ORUSCO DE TAJU´è_´è__A","ESP","Spain",1,"HighIncome",7,9.73949909210205,1.94591014905531,2.27618968841638,2
"Osaka city","JPN","Japan",1,"HighIncome",17.2,16.444197845459,2.84490938381941,2.79997270043121,2
"OSHAWA","CAN","Canada",1,"HighIncome",7,7.67799949645996,1.94591014905531,2.03835903099642,2
"OSIJEK","HRV","Croatia",4,"E-Eur/C-Eur/C-Asia",21,21.6820049285889,3.04452243772342,3.07648265055154,2
"OSIO SOTTO","ITA","Italy",1,"HighIncome",18,30.6974983215332,2.89037175789616,3.42418116337489,2
"OSLO","NOR","Norway",1,"HighIncome",10.5714285714286,6.30192729404994,2.35815494414886,1.84085550630407,2
"OSMANIYE","TUR","Turkey",2,"N-Afr/MidEast",50,23.7199954986572,3.91202300542815,3.16631838435958,4
"OSNABRUECK","DEU","Germany",1,"HighIncome",12,17.2784976959229,2.484906649788,2.84946282070315,2
"Osorno","CHL","Chile",1,"HighIncome",35,2.52699971199036,3.55534806148941,0.927032714433101,2
"OSTELLATO","ITA","Italy",1,"HighIncome",16,27.9839992523193,2.77258872223978,3.3316328915581,2
"OSTRAVA","CZE","Czech Republic",4,"E-Eur/C-Eur/C-Asia",32,22.1543045043945,3.46573590279973,3.09803181189486,2
"OSTRODA","POL","Poland",4,"E-Eur/C-Eur/C-Asia",16,20.4449996948242,2.77258872223978,3.01773833888993,4
"OSTROLEKA","POL","Poland",4,"E-Eur/C-Eur/C-Asia",18,21.5864944458008,2.89037175789616,3.0720678619965,4
"OSTROW WIELKOPOLSKI","POL","Poland",4,"E-Eur/C-Eur/C-Asia",28,22.4995021820068,3.3322045101752,3.11349318372147,4
"OTTAWA","CAN","Canada",1,"HighIncome",7,5.41699934005737,1.94591014905531,1.68954203484769,2
"OTWOCK","POL","Poland",4,"E-Eur/C-Eur/C-Asia",28,23.2835025787354,3.3322045101752,3.14774506595914,4
"Oulu","FIN","Finland",1,"HighIncome",6.5,8.37000179290771,1.87180217690159,2.12465409870778,2
"OULX","ITA","Italy",1,"HighIncome",12,13.1035013198853,2.484906649788,2.57287947082227,2
"OURENSE","ESP","Spain",1,"HighIncome",7,9.15699863433838,1.94591014905531,2.21451846498704,2
"OUROL","ESP","Spain",1,"HighIncome",13,7.47599840164185,2.56494935746154,2.01169767579472,2
"OUTREAU","FRA","France",1,"HighIncome",13,15.8885021209717,2.56494935746154,2.76559571059067,2
"OVIEDO","ESP","Spain",1,"HighIncome",13.75,8.42887496948242,2.62103882411258,2.13166330753036,2
"Owensboro, KY","USA","United States of America",1,"HighIncome",11,9.27850246429443,2.39789527279837,2.22770016139412,2
"Owerri","NGA","Nigeria",7,"Sub-Saharan Afr",44,48.4850196838379,3.78418963391826,3.88125487773431,4
"OXFORD","GBR","United Kingdom",1,"HighIncome",14,12.3330049514771,2.63905732961526,2.51227899806573,2
"Oxnard-Thousand Oaks-Ventura, CA","USA","United States of America",1,"HighIncome",8.8,7.69100017547607,2.17475172148416,2.04005083689068,2
"OYONNAX","FRA","France",1,"HighIncome",8,14.2350034713745,2.07944154167984,2.6557039645919,2
